epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.849,1.45266,2.52659,1.70934,0.41994,0.14,0.10743,0.05536,1.77416,4.08698,2.16345,0.000174561,0.000174561,0.000174561
2,470.455,1.55991,2.3125,1.80765,0.57574,0.12895,0.12737,0.07166,1.68072,4.36588,2.19499,0.00034643,0.00034643,0.00034643
3,701.601,1.58049,2.30017,1.82737,0.49238,0.14804,0.10649,0.05467,2.05473,3.63042,2.53167,0.000514828,0.000514828,0.000514828
4,931.632,1.56794,2.29937,1.83153,0.5392,0.24321,0.185,0.10187,1.70129,2.71936,2.12963,0.000510378,0.000510378,0.000510378
5,1161.62,1.52216,2.14192,1.78371,0.74982,0.22323,0.25895,0.15061,1.62454,2.25692,2.11903,0.00050517,0.00050517,0.00050517
6,1392.05,1.47516,2.00711,1.75444,0.56589,0.25601,0.27748,0.16382,1.51954,2.17091,1.95287,0.000499963,0.000499963,0.000499963
7,1622.57,1.43493,1.88114,1.72293,0.63113,0.27238,0.27482,0.16552,1.52139,2.2658,1.98031,0.000494756,0.000494756,0.000494756
8,1853.21,1.40482,1.79174,1.70033,0.67448,0.30926,0.35109,0.21256,1.50023,1.90405,1.92239,0.000489548,0.000489548,0.000489548
9,2083.7,1.39388,1.74432,1.68261,0.64607,0.29238,0.31966,0.18421,1.49093,2.06784,1.95325,0.000484341,0.000484341,0.000484341
10,2313.64,1.35766,1.64652,1.65827,0.56026,0.31233,0.34141,0.21562,1.42404,1.85943,1.91156,0.000479133,0.000479133,0.000479133
11,2543.61,1.34761,1.64998,1.65982,0.79645,0.27862,0.35588,0.2155,1.44577,1.81293,1.89799,0.000473926,0.000473926,0.000473926
12,2773.81,1.33,1.57833,1.63813,0.78471,0.2897,0.34638,0.22258,1.38297,1.78676,1.83905,0.000468719,0.000468719,0.000468719
13,3003.73,1.29531,1.52132,1.60541,0.5399,0.38572,0.39353,0.24903,1.42774,1.73249,1.86214,0.000463511,0.000463511,0.000463511
14,3233.68,1.29425,1.46908,1.61837,0.62197,0.37445,0.41259,0.26407,1.39458,1.55729,1.83722,0.000458304,0.000458304,0.000458304
15,3463.55,1.28293,1.43493,1.59815,0.53623,0.38506,0.41376,0.25817,1.35002,1.63483,1.80628,0.000453096,0.000453096,0.000453096
16,3692.97,1.26489,1.40012,1.58289,0.60096,0.42697,0.45064,0.2963,1.3207,1.38569,1.7757,0.000447889,0.000447889,0.000447889
17,3922.68,1.25811,1.36801,1.58679,0.57535,0.40783,0.45096,0.29719,1.31788,1.34391,1.74745,0.000442682,0.000442682,0.000442682
18,4152.64,1.24436,1.33837,1.55932,0.54185,0.44103,0.44604,0.28798,1.32412,1.48202,1.75334,0.000437474,0.000437474,0.000437474
19,4381.95,1.23471,1.3015,1.56131,0.71444,0.38662,0.44706,0.29018,1.3304,1.4189,1.78228,0.000432267,0.000432267,0.000432267
20,4611.32,1.23258,1.30773,1.5477,0.67931,0.43965,0.50623,0.3074,1.31557,1.35302,1.79731,0.000427059,0.000427059,0.000427059
21,4841.18,1.20544,1.27526,1.54713,0.50791,0.47965,0.49472,0.32431,1.28384,1.2441,1.75349,0.000421852,0.000421852,0.000421852
22,5070.99,1.20901,1.25078,1.54203,0.54146,0.4687,0.50564,0.32622,1.28567,1.35826,1.74766,0.000416645,0.000416645,0.000416645
23,5300.71,1.18406,1.21092,1.51345,0.69752,0.45358,0.51972,0.33112,1.30559,1.26281,1.76139,0.000411437,0.000411437,0.000411437
